Department Name|Official Website|Has Activity Data|Activity Data URL|Data Types Available|Notes
Alameda County District Attorney|https://da.alamedacountyca.gov/|Yes|https://data.acgov.org/Public-Safety/Alameda-County-Sheriff-Crime-Reports/8khs-56kk/data|Crime statistics, law enforcement data|Crime data via county open data hub
Alameda County Sheriff's Office|https://www.alamedasheriff.gov/|Yes|https://www.alamedasheriff.gov/about-us/transparency|Inmate locator, crime reports, arrest records, statistics|Public information portal available
Alameda Police Department|https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity|Yes|https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity|Crime mapping, activity log, crime statistics, calls for service|Updated every 24 hours
Albany Police Department|https://www.albanyca.gov/Departments/Police-Department|Yes|https://www.albanyca.gov/Departments/Police-Department/Crime-Mapping|Crime mapping, activity data|Crime graphics and citizen reporting
Alhambra Police Department|https://www.alhambraca.gov/607/Police|Yes|https://www.alhambraca.gov/271/Crime-Statistics|Crime statistics, monthly reports, online reporting|Monthly crime info published
Allan Hancock Community College District Police Department|https://www.hancockcollege.edu/police/index.php|No|N/A|N/A|Campus police; limited public crime data
Alpine County District Attorney|https://alpinecountyca.gov/189/District-Attorney|Unknown|N/A|N/A|Prosecuting agency
Alpine County Sheriff's Department|https://www.alpinecountyca.gov/204/Sheriff|No|N/A|Search and rescue, animal control|Services-focused website
Alturas Police Department|https://www.cityofalturas.us/department/police/index.php|Unknown|N/A|N/A|Small city PD
Amador County District Attorney|https://www.amadorgov.org/government/district-attorney|Yes|https://www.amadorsheriff.org/|Crime reports, statistics, incident data|Works with Sheriff's Office
Amador County Sheriff's Department|https://www.amadorsheriff.org/|Yes|https://amadorsheriff.citizenrims.com|Incident reports, crime graphics, arrest records|CitizenRIMS platform
Amador County Coroner|https://www.amadorsheriff.org/operations-division/coroners-bureau|Unknown|N/A|Death investigations|Part of Sheriff's Office
Amtrak Police Department|https://www.amtrak.com/police/home|Unknown|N/A|Police reports by request|National police force
Anaheim Police Department|https://pd.anaheim.net/|Yes|https://www.anaheim.net/243/Crime-Mapping|Crime mapping, crime alerts, open data portal, press releases|Interactive map; daily updates
American River College Police Department|https://police.losrios.edu/about-los-rios-police-department/police-centers/american-river-college-campus-police|No|N/A|N/A|Part of Los Rios PD
Anderson Police Department|https://www.ci.anderson.ca.us/departments/police/index.php|Yes|https://www.andersonpd.com/crime-analysis/|Crime analysis, online reporting|Citizen online reporting
Angels Camp Police Department|https://angelscamp.gov/police/|Unknown|N/A|Records by request|Small department
Antioch Police Department|https://www.antiochca.gov/186/Police-Department|Yes|https://www.antiochca.gov/446/Crime-Statistics|Crime statistics, real-time crime data, online reporting|CitizenRIMS platform
Apple Valley Unified School District Police Department|https://www.avusd.org/departments/district-police|No|N/A|N/A|School district police
Arcadia Police Department|https://www.arcadiacapolice.gov/|Yes|https://www.arcadiaca.gov/protect/police_department/crime_information/|Crime trends, crime statistics, online reporting|Crime information and trends
Arcata Police Department|https://www.cityofarcata.org/206/Police|Yes|https://arcatapd.citizenrims.com/|Activity logs, crime data, crime mapping|CitizenRIMS platform
Arroyo Grande Police Department|https://www.agpd.org/|Yes|https://www.arroyogrande.org/551/Police-Logs|Police logs (arrest, incident, press), crime statistics|Daily police activity logs
Arvin Police Department|https://www.arvin.org/181/Police|Yes|https://arvin.crimegraphics.com/|Crime mapping, statistics, activity data|CrimeGraphics platform
Atascadero Police Department|https://www.atascadero.org/department/police-department|Yes|https://www.atascadero.org/service/activity-logs|Activity logs, crime reporting|Public safety reporting portal
Atherton Police Department|https://www.athertonca.gov/635/Police-Department|Yes|https://atherton.citizenrims.com|Crime statistics, activity logs, crime mapping|CitizenRIMS platform
Atwater Police Department|https://www.atwater.org/departments/police/|Unknown|N/A|Online reporting available|Limited online crime data
Auburn Police Department|https://www.auburn.ca.gov/168/Police|Yes|https://www.auburn.ca.gov/506/Crime-Data|Crime data, crime reports, calls for service, crime mapping|CrimeGraphics/CitizenRIMS platform
Avenal Police Department|https://cityofavenal.gov/217/Police|Unknown|N/A|Records by request|Limited online presence
Azusa Pacific University Campus Safety Department|https://www.apu.edu/campus-safety/|No|N/A|N/A|Campus safety
Azusa Police Department|https://www.azusaca.gov/195/Police|Yes|https://azusapd.org/news-releases|News releases, records bureau, online reporting|Crime reports by request
Bakersfield Police Department|https://www.bakersfieldcity.us/257/Police|Yes|https://www.arcgis.com/apps/dashboards/5106d9dac61248649dac4a88f6a274db|Community Crime Dashboard, Crime Statistics|ArcGIS dashboard
Baldwin Park Police Department|https://www.baldwinparkpolice.com/|No|N/A|Records requests available|
Banning Police Department|http://www.banning.ca.us/17/Police-Department|Limited|N/A|Online Crime Reporting, Records|
Barstow Police Department|https://www.barstowca.org/departments/police|Yes|https://www.barstowca.org/departments/police/press-releases|Press Releases, Records Bureau|
Bay Area Rapid Transit Police Department|https://www.bart.gov/about/police|Yes|https://www.bart.gov/about/police/reports|Policy and Reports, News|
Bear Valley Police Department|https://www.bvcsd.org/police-department|No|N/A|General Police Services|
Beaumont Police Department|https://www.beaumontpd.org/|Yes|https://www.beaumontpd.org/1169/Crime|Press Log, Crime Data, Records|
Bell Gardens Police Department|https://www.bellgardens.org/government/public-safety/police-department|Unknown|N/A|Police Department Policies|
Bell Police Department|https://www.cityofbell.org/?navid=106|Unknown|N/A|Basic Services|
Belmont Police Department|https://www.belmont.gov/departments/police|Yes|https://belmont.citizenrims.com/|Crime & Activity Data, Crime Graphics|CitizenRIMS
Belvedere Police Department|https://www.cityofbelvedere.org/departments/police/|Unknown|N/A|Police Safety Programs|
Benicia Police Department|https://www.ci.benicia.ca.us/police|Yes|https://www.ci.benicia.ca.us/index.asp?SEC=68826789-63C6-4FAF-A4C2-04FB539FE803&DE=360DEDAA-9D71-403A-86D4-95CE8411FFA0|Crime Statistics, Police Activity Bulletin, Records|
Berkeley Police Department|https://berkeleyca.gov/safety-health/police|Yes|https://berkeleyca.gov/safety-health/police/data-crime-calls-service-stops-and-use-force|Crime Data, Calls for Service, Use of Force, Annual Crime Report|Open Data Portal
Beverly Hills Police Department|https://www.beverlyhills.org/548/Police-Department|Yes|https://gis.beverlyhills.org/VBH/CrimeMap/|Interactive Crime Map, Crime Data Download, Monthly Statistics|
Big Bear Municipal Water District Lake Patrol|https://www.bbmwd.com|Limited|https://www.bbmwd.com/lake-operations-department|Lake Safety Information|
Biola University Campus Safety Department|https://www.biola.edu/campus-safety|Unknown|N/A|Campus Safety Info|
Bishop Police Department|https://cityofbishop.ca.gov/departments/police/|Yes|https://bishop.crimegraphics.com/|Crime Graphics Portal, Press Releases|
Blue Lake Police Department|https://bluelake.ca.gov/city-services/public-safety/|No|N/A|N/A|Serves through Humboldt County Sheriff
Blythe Police Department|https://www.cityofblythe.ca.gov/19/Police-Department|Unknown|N/A|N/A|
Brawley Police Department|https://www.brawley-ca.gov/departments/police-department|Unknown|N/A|N/A|
Brea Police Department|https://www.cityofbrea.gov/1595/Police-Services|Unknown|N/A|N/A|
Brentwood Police Department|https://www.brentwoodca.gov/government/police|Yes|https://www.brentwoodca.gov/government/police/public-services/police-logs|Police Logs, Crime Reports, Calls for Service|CitizenRIMS
Brisbane Police Department|https://www.brisbaneca.org/police|Unknown|N/A|N/A|
Broadmoor Police Department|https://www.broadmoorpolice.com/|Unknown|N/A|N/A|Police Protection District
Buena Park Police Department|https://www.bppd.com/|Yes|https://www.bppd.com/|Crime Statistics, Online Police Reports|
Burbank-Glendale-Pasadena Airport Authority Police Department|https://www.hollywoodburbankairport.com/airport-authority/bgpaa-police/|Unknown|N/A|N/A|Airport Police
Burbank Police Department|https://www.burbankca.gov/web/police-department|Yes|https://www.burbankca.gov/web/police-department/daily-arrest-logs|Daily Arrest Logs, Crime Information, Interactive Crime Map|Past 30 days
Burlingame Police Department|https://www.burlingame.org/516/Police|Yes|https://burlingame.citizenrims.com/|Crime & Activity Data|CitizenRIMS
Burlington Northern Santa Fe Railway Police Team|https://www.bnsf.com/in-the-community/safety-and-security/police-team.page|No|N/A|N/A|Railroad Police
Butte Community College Police Department|https://www.butte.edu/collegepolice/|Unknown|N/A|N/A|Campus Police
Butte County District Attorney|https://www.buttecounty.net/340/District-Attorney|Unknown|N/A|N/A|
Butte County Sheriff's Department/Coroner|https://www.buttecounty.net/1393/SheriffCoroner|Yes|https://bcso.citizenrims.com/|Crime Data|CitizenRIMS
CA Alcoholic Beverage Control|https://www.abc.ca.gov/|No|N/A|N/A|Alcohol licensing enforcement
CA Assembly Sergeant at Arms|https://sergeant.assembly.ca.gov/|No|N/A|N/A|Legislative security
CA California Highway Patrol|https://www.chp.ca.gov/|Yes|https://www.chp.ca.gov/notify-chp/crime-incident-reporting-system|Crime incidents, traffic data via SWITRS|SWITRS system
CA California Governor's Office of Emergency Services|https://www.caloes.ca.gov/|No|N/A|N/A|Emergency services coordination
CA California Exposition and State Fair Police Department|https://calexpo.com/safety-security/|No|N/A|N/A|Fairgrounds police
CA California Horse Racing Board|https://www.chrb.ca.gov/|No|N/A|N/A|Regulatory authority
CA Department of Cannabis Control Law Enforcement Division|https://www.cannabis.ca.gov/|Unknown|https://www.cannabis.ca.gov/about-us/reports-and-policies/|Reports and policies|Illegal cannabis investigations
CA Department of Consumer Affairs Dental Board|https://www.dbc.ca.gov/|No|N/A|N/A|Dental practice enforcement
CA Department of Consumer Affairs Division of Investigation|https://www.dca.ca.gov/enforcement/index.shtml|Yes|https://www.dca.ca.gov/data/enforcement.shtml?tab=doi|Enforcement data by board|Sworn peace officers
CA Department of Corrections and Rehabilitation|https://www.cdcr.ca.gov/|Yes|https://www.cdcr.ca.gov/|Population data, facility info|State prison system
CA Department of Developmental Services|https://www.dds.ca.gov/|No|N/A|N/A|Not law enforcement
CA Department of Employment Development|https://edd.ca.gov/|No|N/A|N/A|Not law enforcement
CA Department of Financial Protection and Innovation|https://dfpi.ca.gov/|No|N/A|N/A|Financial regulation
CA Department of Fish and Wildlife|https://wildlife.ca.gov/|Yes|https://data-cdfw.opendata.arcgis.com/|Open geospatial data, CALTIP tips|Wildlife crimes
CA Department of Forestry and Fire Protection (CAL FIRE)|https://www.fire.ca.gov/|No|N/A|N/A|Fire prevention
CA Department of Public Health Food and Drug Branch|https://www.cdph.ca.gov/Programs/CEH/DFDCS/Pages/FoodandDrugBranch.aspx|No|N/A|N/A|Food safety
CA Department of Public Health Office of Youth Tobacco Enforcement|https://www.cdph.ca.gov/Programs/CEH/DFDCS/Pages/OfficeofYouthTobaccoEnforcement.aspx|No|N/A|N/A|Tobacco sales enforcement
CA Department of Health Care Services|https://www.dhcs.ca.gov/|No|N/A|N/A|Not law enforcement
CA Department of Industrial Relations|https://www.dir.ca.gov/|No|N/A|N/A|Not law enforcement
CA Department of Insurance Fraud Division|https://www.insurance.ca.gov/0300-fraud/|Unknown|https://www.insurance.ca.gov/0300-fraud/|Fraud investigation data|Enforcement Branch
CA Department of Justice|https://oag.ca.gov/crime|Yes|https://openjustice.doj.ca.gov/|Comprehensive crime statistics database|Crime, arrests, hate crimes, homicide data
CA Department of Motor Vehicles|https://www.dmv.ca.gov/|No|N/A|N/A|Not law enforcement
CA Department of Parks and Recreation|https://www.parks.ca.gov/|No|N/A|N/A|Parks management
CA Department of Social Services|https://www.cdss.ca.gov/|No|N/A|N/A|Social services
CA Department of State Hospitals|https://www.dsh.ca.gov/|No|N/A|N/A|Mental health services
CA Department of Toxic Substances Control|https://dtsc.ca.gov/|No|N/A|N/A|Environmental
CA Franchise Tax Board|https://www.ftb.ca.gov|No|N/A|N/A|Tax administration
CA National Guard|https://calguard.ca.gov/|No|N/A|N/A|Military
CA Office of Law Enforcement Support (OLES)|https://www.oles.ca.gov/|Yes|https://www.oles.ca.gov/Reports/|Semiannual reports|Investigative monitoring
CA Public Employees Retirement System (CALPERS)|https://www.calpers.ca.gov/|No|N/A|N/A|Retirement system
CA Secretary of State|https://www.sos.ca.gov/|No|N/A|N/A|Elections
CA State Controller|https://www.sco.ca.gov/|No|N/A|N/A|Fiscal oversight
CA State Lottery|https://www.calottery.com/en/|No|N/A|N/A|Lottery operations
CA State Public Defender|https://www.ospd.ca.gov/|No|N/A|N/A|Defense services
CA Senate Sergeant-at-Arms|https://sergeant.senate.ca.gov/|No|N/A|N/A|Legislative security
Calaveras County Coroner|https://coroner.calaverasgov.us/|No|N/A|N/A|Death investigation
Calaveras County District Attorney|https://districtattorney.calaverasgov.us/|No|N/A|N/A|Prosecutor
Calaveras County Sheriff's Department|https://sheriff.calaverasgov.us/|Yes|https://calaveras.citizenrims.com/|Crime and activity data|CitizenRIMS; online reporting
Calexico Police Department|https://www.calexico.ca.gov/|No|N/A|N/A|
California City Police Department|https://www.californiacity-ca.gov/|No|N/A|N/A|11 sworn officers
California Criminalistics Institute|N/A|No|N/A|N/A|Training institute
Calipatria Police Department|https://www.calipatria.com/the-city/departments/public-safety/|No|N/A|N/A|
Calistoga Police Department|https://www.calistogaca.gov/Services/Police|No|N/A|N/A|
Campbell Police Department|https://www.campbellca.gov/1526/Police-Department|Yes|https://www.campbellca.gov/291/Contact-Us|Crime information|Free Campbell PD App
Canyon Lake Police Department|https://www.canyonlakeca.gov/police|Yes|https://www.canyonlakeca.gov/index.asp?SEC=B31A0DB4-C508-4CDC-BB47-6DCA7B7DE449|Citizens online reporting|Contracts with Riverside County Sheriff
Capitola Police Department|https://www.cityofcapitola.org/police|No|N/A|N/A|
Carlsbad Police Department|https://www.carlsbadca.gov/departments/police|Yes|https://www.carlsbadca.gov/departments/police/services/report-a-crime|Online crime reporting|
Carmel Police Department|https://ci.carmel.ca.us/police-fire|No|N/A|N/A|
Cathedral City Police Department|https://www.cathedralcitypolice.com/|No|N/A|N/A|
Central Marin Police Authority|https://www.centralmarinpolice.org/|Yes|https://www.centralmarinpolice.org/300/FILE-ONLINE-REPORT-HERE|Online police reporting|Regional authority
Ceres Police Department|https://www.ceres.gov/1864/Police-Department|No|N/A|N/A|
Cerritos College Police Department|https://www.cerritos.edu/police/default.htm|No|N/A|N/A|Campus police
Chaffey Community College District Police Department|https://www.chaffey.edu/police/index.php|No|N/A|N/A|
Chapman University Department of Public Safety|https://www.chapman.edu/campus-services/public-safety/index.aspx|No|N/A|N/A|
Chico Police Department|https://chicoca.gov/City-Services/Public-Safety/Police-Department/|No|N/A|N/A|
Chino Police Department|https://www.cityofchino.org/231/Police|Yes|N/A|Crime information|Mobile app with online reporting
Chowchilla Police Department|https://www.cityofchowchilla.org/176/Police-Department|No|N/A|N/A|
Chula Vista Police Department|https://www.chulavistaca.gov/departments/police-department|Yes|https://cvapps.chulavistaca.gov/CVPDOpenData/IncidentReport|Incident reporting data|2nd largest city in SD County
Citrus Community College District Department of Campus Safety|https://www.citruscollege.edu/general/campussafety/index.html|No|N/A|N/A|
Citrus Heights Police Department|https://www.citrusheights.net/1254/Police-Department|Yes|https://www.citrusheights.net/245/Online-Reporting|Online crime reporting|
Claremont College Department of Campus Safety|https://services.claremont.edu/campus-safety/|No|N/A|N/A|Multi-college safety
Claremont Police Department|https://www.claremontca.gov/City-Services/Public-Safety/Police|No|N/A|N/A|
Clayton Police Department|https://claytonca.gov/police/|No|N/A|N/A|
Clearlake Police Department|https://clearlake.ca.us/210/Police-Department|No|N/A|N/A|
Cloverdale Police Department|https://www.cloverdale.net/78/Police|No|N/A|N/A|
Clovis Police Department|https://www.clovisca.gov/services/police/index.php|No|N/A|N/A|
Clovis Unified School District Police Department|https://www.cusd.com/|No|N/A|N/A|School district police
Coalinga Police Department|https://www.coalinga.com/150/Police|No|N/A|N/A|
College of the Redwoods|https://www.redwoods.edu/about/security/index.php|No|N/A|N/A|Campus safety
College of the Sequoias Police Department|https://www.cos.edu/en-us/student-support/police|No|N/A|N/A|
Colma Police Department|https://www.colma.ca.gov/departments/police/|Unknown|https://www.colma.ca.gov/police-department-news/|Police news and updates|
Colton Police Department|https://www.coltonpd.org/|Yes|https://www.coltonpd.org/160/Online-Police-Reports|Online police reports|
Colusa County District Attorney|https://www.countyofcolusaca.gov/357/District-Attorney|No|N/A|N/A|
Colusa County Sheriff's Department|https://www.countyofcolusaca.gov/156/Sheriff|No|N/A|N/A|
Colusa Police Department|https://cityofcolusa.com/police-department/|No|N/A|N/A|
Compton Community College Police Department|https://www.compton.edu/campus-safety/index.aspx|No|N/A|N/A|
Compton Unified School District Police Department|https://www.compton.k12.ca.us/departments/school-police|No|N/A|N/A|
Concord Police Department|https://www.cityofconcord.org/183/Police|No|N/A|N/A|
Concordia University Department of Campus Safety and Security|https://www.concordia.ca/campus-life/security.html|No|N/A|N/A|
Contra Costa Community College District Police Department|https://www.4cd.edu/pd/|No|N/A|N/A|Serves 4 campuses
Contra Costa County District Attorney|https://www.contracosta.ca.gov/9975/District-Attorney|No|N/A|N/A|
Contra Costa County Sheriff's Department/Coroner|https://www.cocosheriff.org/|Yes|https://www.cocosheriff.org/contact-us|Transparency portal and reports|
Corcoran Police Department|https://cityofcorcoran.ca.gov/departments/police/index.php|Yes|https://corcoranpd.citizenrims.com/|Crime and arrests data|CitizenRIMS
Corning Police Department|https://www.corning.org/departments/police-department/|Unknown|https://corning.citizenrims.com|Crime and activity data|CitizenRIMS
Corona Police Department|https://www.coronaca.gov/departments/police|Yes|N/A|Records and crime information|
Coronado Police Department|https://www.coronado.ca.us/167/Our-Department|Unknown|https://coronado.citizenrims.com/|Activity data portal|CitizenRIMS
Costa Mesa Department of Communications|https://www.costamesaca.gov/|No|N/A|N/A|Dispatch center
Costa Mesa Police Department|https://www.costamesaca.gov/government/departments-and-divisions/police|Yes|https://apps.costamesaca.gov/gismaps1/apps/experiencebuilder/experience/?id=906826b049794ca493700acc0f2e91ac|Police incidents viewer|
Cosumnes River College Police Department|https://police.losrios.edu/|No|N/A|N/A|Los Rios system
Cotati Police Department|https://www.cotaticity.gov/229/Police|No|N/A|N/A|
Covina Police Department|https://covinapd.org/|No|N/A|N/A|
CPSU Pomona Department of Public Safety|https://www.cpp.edu/police/index.shtml|No|N/A|N/A|University police
CPSU San Luis Obispo University Police Department|https://afd.calpoly.edu/police/|No|N/A|N/A|University police
Crescent City Police Department|https://www.crescentcity.org/departments/Police|No|N/A|N/A|Transparency portal available
CSU Bakersfield University Police Department|https://www.csub.edu/police/|No|N/A|N/A|
CSU Channel Islands University Police Department|https://www.csuci.edu/publicsafety/police/|Yes|https://csucipolice.citizenrims.com/form?formId=138|Online reporting system|CitizenRIMS
CSU Chico University Police Department|https://www.csuchico.edu/up/|Yes|https://csuchico.citizenrims.com/|Crime and activity data|CitizenRIMS
CSU Dominguez Hills University Police Department|https://www.csudh.edu/dhpd/|No|N/A|N/A|
CSU East Bay University Police Department|https://www.csueastbay.edu/upd/|No|N/A|N/A|
CSU Fresno University Police Department|https://www.fresnostate.edu/adminserv/police/|No|N/A|N/A|
CSU Fullerton University Police Department|https://police.fullerton.edu/|Yes|https://csufpd.citizenrims.com|Crime & Activity, campus safety data|CitizenRIMS (discovered via search)
CSU Humboldt University Police Department|Not Found|Unknown|N/A|N/A|
CSU Long Beach University Police Department|Not Found|Unknown|N/A|N/A|
CSU Los Angeles University Police Department|Not Found|Unknown|N/A|N/A|
CSU Monterey Bay University Police Department|Not Found|Unknown|N/A|N/A|
CSU Northridge Department of Police Services|Not Found|Unknown|N/A|N/A|
CSU Sacramento Public Safety/University Police Department|Not Found|Unknown|N/A|N/A|
CSU San Bernardino University Police Department|Not Found|Unknown|N/A|N/A|
CSU San Diego PD|Not Found|Unknown|N/A|N/A|
CSU San Francisco Police Department|Not Found|Unknown|N/A|N/A|
CSU San Jose University Police Department|Not Found|Unknown|N/A|N/A|
CSU San Marcos University Police Department|Not Found|Unknown|N/A|N/A|
CSU Sonoma Police and Parking Services|Not Found|Unknown|N/A|N/A|
CSU Stanislaus University Police Department|Not Found|Unknown|N/A|N/A|
Cuesta College Department of Public Safety|https://www.cuesta.edu/community/publicsafety/index.html|No|N/A|N/A|
Culver City Police Department|https://www.culvercitypd.gov/Home|No|N/A|N/A|
Cypress Police Department|https://www.cypressca.org/departments/police|No|N/A|N/A|
Daly City Police Department|https://www.dalycity.org/180/Police|Yes|https://www.dalycity.org/906/Crime-Alert-Bulletins|Crime Alerts, Community Resources|
Dana Point Police Department|https://www.danapoint.org/City-Government/Public-Safety/Police-Services|Unknown|N/A|N/A|OC Sheriff contract
Danville Police Department|https://www.danville.ca.gov/162/Police-Services|Unknown|N/A|N/A|
Davis Police Department|https://www.cityofdavis.org/city-hall/police-department/|Yes|https://www.cityofdavis.org/city-hall/police-department/daily-activity-log|Daily Activity Logs, Annual Reports, Crime Data|
Del Norte County District Attorney|N/A|Unknown|N/A|N/A|
Del Norte County Sheriff's Department|https://www.co.del-norte.ca.us/dnso|Yes|https://delnorte.citizenrims.com/|Incarcerated Individuals, Wanted Persons|CitizenRIMS
Del Rey Oaks Police Department|https://www.delreyoaks.org/police|Unknown|N/A|N/A|
Delano Police Department|https://www.cityofdelano.org/105/Police-Department|Yes|https://cityofdelano.org/108/Crime-Statistics|Crime Statistics, Monthly Reports|
Desert Hot Springs Police Department|https://www.cityofdhs.org/departments/police/|Yes|https://www.cityofdhs.org/police-records/|Police Records, Anonymous Tips|
Dixon Police Department|https://www.dixonpoliceca.gov/|Yes|https://www.dixonpoliceca.gov/departments/Transparency|Crime Statistics, Use of Force Data, Annual Reports|Transparency Portal
Dos Palos Police Department|https://www.dospalos.gov/departments/police|Unknown|N/A|N/A|
Downey Police Department|https://www.downeyca.org/our-city/departments/police|Yes|https://www.downeyca.org/our-city/departments/police/welcome-to-the-downey-police-department/annual-report|Annual Report, Crime Statistics|
