agency_id,parser_id,docs_fetched,doc_count,docs_inserted,date_range_min,date_range_max,error
los-angeles-county-probation-department,rave,0,0,0,,,no_url
monterey-county-sheriffs-department,rave,0,0,0,,,no_url
san-francisco-county-sheriffs-department,rave,0,0,0,,,no_url
los-angeles-county-sheriffs-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
amador-county-coroner,rave,0,0,0,,,no_url
moraga-police-department,civicplus,0,0,0,,,no_url
san-gabriel-police-department,citizenrims,0,0,0,,,no_url
el-monte-police-department,civicplus,0,0,0,,,no_url
los-angeles-port-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
tehama-county-district-attorney,arcgis,0,0,0,,,no_url
colton-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
inyo-county-district-attorney,citizenrims,0,0,0,,,no_url
los-angeles-world-airports-police-department,rave,0,0,0,,,no_url
escalon-police-department,nixle,0,0,0,,,no_url
los-banos-police-department,rave,0,0,0,,,no_url
compton-community-college-police-department,nixle,0,0,0,,,no_url
murrieta-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
yuba-city-police-department,arcgis,0,0,0,,,no_url
ca-california-governors-office-of-emergency-services,arcgis,0,0,0,,,no_url
concordia-university-department-of-campus-safety-and-security,rave,0,0,0,,,no_url
kern-county-sheriffs-department,nixle,0,0,0,,,no_url
exposition-park-department-of-public-safety,rave,0,0,0,,,no_url
kern-high-school-district-police-department,arcgis,0,0,0,,,no_url
ca-department-of-industrial-relations,rave,0,0,0,,,no_url
fontana-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
redondo-beach-police-department,arcgis,0,0,0,,,no_url
tuolumne-county-district-attorney,civicplus,0,0,0,,,no_url
ca-department-of-parks-and-recreation,rave,0,0,0,,,no_url
marin-county-sheriffs-department,citizenrims,0,0,0,,,no_url
rialto-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
calaveras-county-coroner,arcgis,0,0,0,,,no_url
calaveras-county-district-attorney,arcgis,0,0,0,,,no_url
ridgecrest-police-department,civicplus,0,0,0,,,no_url
corona-police-department,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
selma-police-department,rave,0,0,0,,,no_url
lakeport-police-department,nixle,0,0,0,,,no_url
ca-national-guard,arcgis,0,0,0,,,no_url
glenn-county-sheriffs-departmentcoroner,rave,0,0,0,,,no_url
orange-county-sheriffs-departmentcoroner,crimemapping,0,0,0,,,no_parser (platform_type='crimemapping')
ca-state-lottery,rave,0,0,0,,,no_url
greenfield-police-department,civicplus,0,0,0,,,no_url
menifee-police-department,arcgis,0,0,0,,,no_url
