agency_id,canonical_name,detected_platform,detection_source
alameda-county-sheriffs-office,Alameda County Sheriff's Office,unknown,
albany-police-department,Albany Police Department,unknown,
alhambra-police-department,Alhambra Police Department,civicplus,homepage_url:html=civicplus
allan-hancock-community-college-district-police-department,Allan Hancock Community College District Police Department,unknown,
alpine-county-district-attorney,Alpine County District Attorney,civicplus,homepage_url:html=civicplus
alpine-county-sheriffs-department,Alpine County Sheriff's Department,civicplus,homepage_url:html=civicplus
alturas-police-department,Alturas Police Department,unknown,
amador-county-coroner,Amador County Coroner,rave,homepage_url:html=smart911
amador-county-district-attorney,Amador County District Attorney,rave,feed_url:html=smart911
american-river-college-police-department,American River College Police Department,unknown,
amtrak-police-department,Amtrak Police Department,unknown,
anaheim-police-department,Anaheim Police Department,civicplus,homepage_url:html=civicplus
anderson-police-department,Anderson Police Department,unknown,
angels-camp-police-department,Angels Camp Police Department,nixle,homepage_url:html=nixle
apple-valley-unified-school-district-police-department,Apple Valley Unified School District Police Department,unknown,
arcadia-police-department,Arcadia Police Department,unknown,
arroyo-grande-police-department,Arroyo Grande Police Department,civicplus,homepage_url:html=civicplus
atascadero-police-department,Atascadero Police Department,arcgis,homepage_url:html=arcgis
atwater-police-department,Atwater Police Department,unknown,
avenal-police-department,Avenal Police Department,civicplus,homepage_url:html=civicplus
azusa-pacific-university-campus-safety-department,Azusa Pacific University Campus Safety Department,unknown,
azusa-police-department,Azusa Police Department,civicplus,homepage_url:html=civicplus
baldwin-park-police-department,Baldwin Park Police Department,civicplus,homepage_url:html=civicplus
banning-police-department,Banning Police Department,civicplus,homepage_url:html=civicplus
barstow-police-department,Barstow Police Department,unknown,
bay-area-rapid-transit-police-department,Bay Area Rapid Transit Police Department,unknown,
bear-valley-police-department,Bear Valley Police Department,nixle,homepage_url:html=nixle
beaumont-police-department,Beaumont Police Department,civicplus,homepage_url:html=civicplus
bell-gardens-police-department,Bell Gardens Police Department,unknown,
bell-police-department,Bell Police Department,unknown,
belvedere-police-department,Belvedere Police Department,unknown,
benicia-police-department,Benicia Police Department,unknown,
berkeley-police-department,Berkeley Police Department,nixle,homepage_url:html=Nixle
beverly-hills-police-department,Beverly Hills Police Department,crimemapping,homepage_url:html=CrimeMapping
big-bear-municipal-water-district-lake-patrol,Big Bear Municipal Water District Lake Patrol,unknown,
biola-university-campus-safety-department,Biola University Campus Safety Department,rave,homepage_url:html=rave
blue-lake-police-department,Blue Lake Police Department,unknown,
blythe-police-department,Blythe Police Department,civicplus,homepage_url:html=civicplus
brawley-police-department,Brawley Police Department,unknown,
brea-police-department,Brea Police Department,civicplus,homepage_url:html=civicplus
brisbane-police-department,Brisbane Police Department,unknown,
broadmoor-police-department,Broadmoor Police Department,unknown,
buena-park-police-department,Buena Park Police Department,unknown,
burbank-glendale-pasadena-airport-authority-police-department,Burbank-Glendale-Pasadena Airport Authority Police Department,unknown,
burbank-police-department,Burbank Police Department,nixle,homepage_url:html=nixle
burlington-northern-santa-fe-railway-police-team,Burlington Northern Santa Fe Railway Police Team,unknown,
butte-community-college-police-department,Butte Community College Police Department,unknown,
butte-county-district-attorney,Butte County District Attorney,civicplus,homepage_url:html=civicplus
ca-alcoholic-beverage-control,CA Alcoholic Beverage Control,unknown,
ca-assembly-sergeant-at-arms,CA Assembly Sergeant at Arms,unknown,
